Scenario ID,Module / Pillar,Scenario Category,Sub-Category / Clinical Phenotype,Surgeon / Actor Role,Pre-Conditions & Clinical Parameters,Execution Action / Trigger,Expected Clinical & System Outcome,Compliance & Clinical Standard,Priority / Risk Level
"SCN-1356","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+4=7a • pT3b • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 2 (3+4=7a), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1357","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+4=7a • pT3b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 2 (3+4=7a), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1358","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+4=7a • pT3b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 2 (3+4=7a), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1359","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+4=7a • pT3b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 2 (3+4=7a), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1360","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 3+4=7a • pT3b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 2 (3+4=7a), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1361","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2a • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1362","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2a • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1363","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2a • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1364","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2a • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1365","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1366","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1367","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1368","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1369","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1370","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1371","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1372","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1373","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1374","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1375","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1376","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2a • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1377","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2b • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1378","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2b • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1379","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2b • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1380","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2b • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1381","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1382","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1383","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1384","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1385","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1386","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1387","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1388","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1389","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1390","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1391","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1392","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2b • R1 Positive (Bladder Neck)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1393","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2c • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1394","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2c • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1395","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2c • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1396","1. Clinical & Oncological Pathways","Standard Curative Pathway","Gleason 4+3=7b • pT2c • R0 Negative","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2c, R0 Negative","PSA 12M <0.01 ng/mL (Undetectable PSA -> Ongoing longitudinal surveillance); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","Medium"
"SCN-1397","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2c • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1398","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2c • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1399","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2c • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1400","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2c • R1 Positive (Apical)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2c, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-1401","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT2c • R1 Positive (Posterolateral)","OAK","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT2c, Pre-op PSA 4.5-18.0 ng/mL","Surgeon OAK performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2c, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
